Frequency,Asset,Model,Accuracy,Vald/Test
1h,ADAUSDT_1h,MLPClassifier,0.3864123693290963,F1 VALIDATION
1h,ADAUSDT_1h,MLPClassifier,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
1h,ADAUSDT_1h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,ADAUSDT_1h,MLPClassifier,0.5215158086976373,FINAL TEST
1h,ADAUSDT_1h,MLPClassifier,0.39007993937420393,F1 FINAL TEST
1h,ADAUSDT_1h,MLPClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,MLPClassifier,"{0: 0.9527451204200433, 1: 0.047254879579956624}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,MLPClassifier,0.48797113618169013,F1 VALIDATION
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.575, 0: 0.425}",DESBALANCEO REAL VAL
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.6083333333333333, 0: 0.39166666666666666}",DESBALANCEO PREDICCIÓN VAL
1h,TRXUSDT_1h,MLPClassifier,0.5184339687250313,FINAL TEST
1h,TRXUSDT_1h,MLPClassifier,0.427477480735794,F1 FINAL TEST
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.8659970323022486, 0: 0.13400296769775139}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,MLPClassifier,0.4807702500908314,F1 VALIDATION
1h,LINKUSDT_1h,MLPClassifier,"{0: 0.575, 1: 0.425}",DESBALANCEO REAL VAL
1h,LINKUSDT_1h,MLPClassifier,"{0: 0.6, 1: 0.4}",DESBALANCEO PREDICCIÓN VAL
1h,LINKUSDT_1h,MLPClassifier,0.502454057755964,FINAL TEST
1h,LINKUSDT_1h,MLPClassifier,0.5015746538386859,F1 FINAL TEST
1h,LINKUSDT_1h,MLPClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,MLPClassifier,"{1: 0.5476543773541833, 0: 0.4523456226458167}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,MLPClassifier,0.38083581080769524,F1 VALIDATION
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.5666666666666667, 1: 0.43333333333333335}",DESBALANCEO REAL VAL
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.8333333333333334, 1: 0.16666666666666666}",DESBALANCEO PREDICCIÓN VAL
1h,AVAXUSDT_1h,MLPClassifier,0.518548110946239,FINAL TEST
1h,AVAXUSDT_1h,MLPClassifier,0.37336569986260604,F1 FINAL TEST
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.9673553247346194, 1: 0.03264467526538067}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,RandomForestClassifier,0.5234720841981181,F1 VALIDATION
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.725, 1: 0.275}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,RandomForestClassifier,0.5156945554160484,FINAL TEST
1h,BTCUSDT_1h,RandomForestClassifier,0.5140478097260736,F1 FINAL TEST
1h,BTCUSDT_1h,RandomForestClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.5870334436708138, 1: 0.41296655632918616}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,RandomForestClassifier,0.4914608982545161,F1 VALIDATION
1h,ETHUSDT_1h,RandomForestClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
